Mount Vesuvius,Mount Athos,Mount Olympus,Mount Everest
English,Italian,Catalan,Turkish
Archbishop of Canterbury,Pope,Supreme Governor,Supreme Head
Supreme Head,Supreme Governor,Archbishop of Canterbury,Patriarch
John Dudley,Francis Walsingham,Robert Dudley,Philip II
James VI/I,James II/VII,Anne,Edward VII
Spain,Portugal,Andorra,Malta
Taiwan,Sri Lanka,Madagascar,Iceland
Calais,Boulogne,Caen,Nantes
Jane Grey,Mary Tudor,Elizabeth Tudor,Mary Stuart
Elizabeth,Mary,Anne,Catherine
Thomas Wolsey,Thomas More,Thomas Cromwell,Thomas Cranmer
Ulrich Zwingli,Martin Luther,John Calvin,John Knox
Ferdinand of Aragon,Philip I,Philip II,Juan Carlos
Devon and Cornwall,Yorkshire,East Anglia,London
