265,266,267,268
Devon,Oxfordshire,Durham,Middlesex
Welsh,Scots,Polish,Punjabi
2,3,5,6
Ireland,Scotland,Denmark,Hanover
1945,1947,1948,1949
Pen,Bed,Chair,Book
Errol,Hedwig,Pigwigeon,Neville
Jadis,Aslan,Susan,Lilith
CS Lewis,JRR Tolkein,Hilaire Belloc,GK Chesterton
Anglicanism,Catholicism,Methodism,Presbyterian
1,9,17,20
3,5,7,9
French,Latin,German,Italian
1,2,3,4
Stoke Field,London,Bosworth Field,Flodden
30,40,50,60
2,3,4,5
William of Orange,William Cecil,Francis Walsingham,Robert Dudley
Stuart,Plantagenet,York,Hanover
