Taiwan,Borneo,Java,Niue
Singapore,Maldives,Brunei,Bahrain
Elizabeth II,Henry VIII,Victoria,George V
China,Korea,Japan,Vietnam
Philippines,China,Burma,Korea
Brunei,Japan,Bhutan,Thailand
Romania,Lithuania,Slovakia,Italy
44,49,51,54
Uranium,Plutonium,Neptunium,Oganesson
Russian,Ottoman,Ethiopia,Qing (China)
Roman,Mongol,British,Russian
H.P Lovecraft,J.R.R Tolkein,C.S Lewis,Stephen King
Austia,Hungary,Croatia-Slavonia,Bosnia-Herzegovina
Hilaire Belloc,C.S Lewis,G.K Chesterton,Alister McGrath
Yugoslavia,Albania,Afghanistan,Ottoman Empire
Leo,Stephen,Mark,David
Russia,Belarus,Kazakhstan,Georgia
April,May,June,July
Spain,Dominica,Jamaica,Belize
Alfred the Great,Æthelstan,William the Conqueror,Cnut
